model,weather,accuracy,precision,recall,f1,tp,fp,fn
rtdetr_finetuned_100,fog,0.7904191616759706,0.9675392670146937,0.8119507908604464,0.8829431433156876,924,31,214
rtdetrv2_finetuned_100,fog,0.8094420600851421,0.972164948452606,0.8286467486811699,0.8946869065231997,943,27,195
rtdetrv2_finetuned_25,fog,0.7280064568194285,0.8993020937179469,0.792618629173293,0.8425969168295521,902,101,236
rtdetrv2_finetuned_50,fog,0.778054862842246,0.9350649350640009,0.8224956063261666,0.8751753150692552,936,65,202
rtdetrv2_finetuned_75,fog,0.8169375534638007,0.9685598377272124,0.83919156414689,0.899246703833164,955,31,183
rtdetr_finetuned_100,rain,0.7505294366790553,0.988287785833247,0.7572649572646336,0.8574885066460155,1772,21,568
rtdetrv2_finetuned_100,rain,0.7842639593905312,0.9872204472838194,0.7923076923073538,0.8790896154373028,1854,24,486
rtdetrv2_finetuned_25,rain,0.7559733646687208,0.900606626224498,0.8247863247859724,0.8610305593935101,1930,213,410
rtdetrv2_finetuned_50,rain,0.761437908496421,0.9452332657196019,0.7965811965808561,0.8645640069243908,1864,108,476
rtdetrv2_finetuned_75,rain,0.762804366078605,0.9774072081759132,0.7764957264953947,0.8654441528759986,1817,42,523
rtdetr_finetuned_100,sand,0.7849798837725592,0.9848569826130202,0.7945701357462468,0.8795391930940576,1756,27,454
rtdetrv2_finetuned_100,sand,0.7963458110513385,0.9813289401422398,0.8085972850675074,0.8866286276361935,1787,34,423
rtdetrv2_finetuned_25,sand,0.7095278246202742,0.912195121950725,0.761538461538117,0.8300863126972298,1683,162,527
rtdetrv2_finetuned_50,sand,0.7412017167378793,0.935029778017902,0.7814479638005514,0.8513680054192845,1727,120,483
rtdetrv2_finetuned_75,sand,0.7763564181734555,0.9686296092454768,0.7963800904973772,0.874099825677658,1760,57,450
rtdetr_finetuned_100,snow,0.6677852348990088,0.9830628087501884,0.6755577109599051,0.8008048284905688,1393,24,669
rtdetrv2_finetuned_100,snow,0.6937109937586684,0.9856753069570356,0.7007759456834622,0.8191609972462313,1445,21,617
rtdetrv2_finetuned_25,snow,0.6796380090494663,0.9103030303024786,0.7284190106688999,0.8092672408850339,1502,148,560
rtdetrv2_finetuned_50,snow,0.7006960556841296,0.9419837804111404,0.7322987390879087,0.8240109135592345,1510,93,552
rtdetrv2_finetuned_75,snow,0.6811042360777338,0.9734693877544398,0.6939864209501969,0.8103057752780272,1431,39,631
